Ratio-K-text-embedding-3-small,Chunk Size,Chunk Overlap,Precision,Recall,MAP,NDCG
fixed_size,512.0,200.0,0.7500000000000002,0.8181583243969124,0.7988651685044827,0.9133152551715872
semantic_chunks_90,,,0.6666666666666667,0.787938596491228,0.78242889420521,0.9328335492817974
recursive,2048.0,0.0,0.7785714285714287,0.8535353535353536,0.8535353535353536,0.9496353012481216
recursive,1024.0,200.0,0.771875,0.8390516890516893,0.8226425179758514,0.9407868466180203
semantic_chunks_95,,,0.7071428571428572,0.8722222222222223,0.8715079365079367,0.9420301857191529
fixed_size,1024.0,200.0,0.7833333333333334,0.8385808270676691,0.8385808270676691,0.9253898363637181
recursive,2048.0,200.0,0.8071428571428573,0.8517171717171719,0.8510028860028861,0.9302964161291568
fixed_size,1024.0,0.0,0.7692307692307694,0.8588080495356039,0.8588080495356039,0.9450370415224321
recursive,1024.0,0.0,0.771875,0.8636403508771929,0.8604898634503899,0.9380776764054962
fixed_size,2048.0,0.0,0.7916666666666667,0.82,0.82,0.9349288531783957
recursive,512.0,200.0,0.7407894736842107,0.8252722952562449,0.7933279648578974,0.8831533822515635
recursive,512.0,0.0,0.7414285714285713,0.817707887972993,0.7844926213116101,0.880481778774491
fixed_size,512.0,0.0,0.7559999999999999,0.8363812376970271,0.8182841276798103,0.9224642373404579
markdown_header,,,0.7633333333333334,0.8534719692072634,0.8466534497637438,0.9169088265385241
markdown_header_parent,,,0.8100000000000002,0.886536772051478,0.8827525666735225,0.9313414621018696
fixed_size,2048.0,200.0,0.7785714285714287,0.8535353535353536,0.8535353535353536,0.9363865261499417
