Token-Limit-3340-text-embedding-3-small,Chunk Size,Chunk Overlap,Precision,Recall,MAP,NDCG
fixed_size,512.0,200.0,0.8461538461538464,0.6584005980156317,0.6445698716102294,0.8922200815860085
semantic_chunks_90,,,0.7460424297924299,0.7529970760233917,0.7482090643274854,0.928574698232036
recursive,2048.0,0.0,0.7755952380952382,0.8535353535353536,0.8535353535353536,0.9496353012481216
recursive,1024.0,200.0,0.7739583333333334,0.83005698005698,0.8136478089811423,0.9408080301202105
semantic_chunks_95,,,0.7928571428571428,0.7327777777777776,0.7327777777777776,0.918394236863991
fixed_size,1024.0,200.0,0.826923076923077,0.7934367167919798,0.7934367167919798,0.9171801106800214
recursive,2048.0,200.0,0.8005952380952381,0.831060606060606,0.831060606060606,0.9309603643355958
fixed_size,1024.0,0.0,0.7642857142857145,0.8588080495356039,0.8588080495356039,0.9450370415224321
recursive,1024.0,0.0,0.7686887254901962,0.857390350877193,0.8542398634503898,0.9359957542328058
fixed_size,2048.0,0.0,0.7809523809523811,0.8366666666666667,0.8366666666666667,0.9344259180626692
recursive,512.0,200.0,0.7698358808332718,0.7811995298493654,0.7500914008433343,0.8782032581337177
recursive,512.0,0.0,0.7372218934612511,0.8046064764864127,0.7714535260635818,0.8785322886604018
fixed_size,512.0,0.0,0.7385327635327636,0.8493643763380604,0.8312089912625685,0.9231712526088846
markdown_header,,,0.7839990925826839,0.7874900099900101,0.7803021735889383,0.9093438391397898
markdown_header_parent,,,0.7882631841842367,0.8298597848230201,0.8243583938528791,0.923993452275937
fixed_size,2048.0,200.0,0.7809523809523811,0.803030303030303,0.803030303030303,0.928936762103936
