Experiment@10,MAP,Recall
markdown-header-recursive-512-0,0.8524177829367949,0.8888888888888888
fixed-size-2048-0,0.610392857125708,0.875
markdown-header-recursive-1024-0,0.8076835317263393,1.0
markdown-header-recursive-2048-200,0.8144510581879514,1.0
recursive-1024-200,0.5850651927289234,0.9
fixed-size-512-0,0.7223809523634326,0.8300000000000001
fixed-size-1024-0,0.7333616779886065,1.0
markdown-header-recursive-1024-200,0.9340643738814652,1.0
markdown-header-recursive-2048-0,0.8482369614294111,1.0
fixed-size-1024-200,0.42993055554486126,0.7
markdown-header,0.7729481607271379,0.95
recursive-2048-0,0.8470416666241649,1.0
fixed-size-2048-200,0.6726424319598979,0.925
recursive-512-200,0.6534286816364263,0.7333333333333333
recursive-2048-200,0.673842970506941,1.0
recursive-1024-0,0.6351428571221827,0.9166666666666666
markdown-header-parent,0.823115079338302,1.0
fixed-size-512-200,0.7067579364908988,0.8166666666666667
semantic-chunks-95-recursive-2048-200,0.34591765871960634,0.8
semantic-chunks-90,0.4574615772074532,0.6666666666666666
semantic-chunks-95,0.476944444423704,0.7333333333333333
recursive-512-0,0.45790249431036445,0.7500000000000001
markdown-header-recursive-512-200,0.7264340828808946,0.9357142857142857
